Number Index,Player,Year,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
181,Renaldo Balkman,2008,November,13,13.7,4.2,1.7,3.5,0.478,0.0,0.2,0.0,0.8,1.1,0.786,1.5,1.5,3.0,0.5,0.8,0.8,0.5,2.5,11.4,0,0,-0.9
181,Renaldo Balkman,2008,December,8,16.3,7.3,3.0,4.9,0.615,0.0,0.1,0.0,1.3,1.8,0.714,1.9,2.5,4.4,0.8,0.8,0.6,0.8,2.0,17.0,0,0,5.1
181,Renaldo Balkman,2008,January,6,7.3,2.7,1.2,1.5,0.778,0.2,0.2,1.0,0.2,0.2,1.0,0.2,1.3,1.5,0.3,0.3,0.5,0.2,1.3,6.6,0,0,-2.7
181,Renaldo Balkman,2008,February,6,12.5,3.7,1.5,2.3,0.643,0.0,0.0,0.0,0.7,0.7,1.0,0.5,2.0,2.5,0.5,0.7,1.2,0.3,0.8,11.3,0,0,-2.0
181,Renaldo Balkman,2008,March,13,19.9,7.2,3.1,5.5,0.556,0.1,0.2,0.5,1.0,2.1,0.481,3.4,3.5,6.9,0.8,0.9,1.2,0.5,2.3,21.0,2,0,2.5
181,Renaldo Balkman,2008,April,6,14.3,2.3,1.0,2.3,0.429,0.0,0.0,0.0,0.3,0.5,0.667,0.5,1.8,2.3,0.8,0.2,0.8,0.3,0.8,9.7,0,0,1.3
188,Marcus Banks,2008,October,2,24.1,7.0,2.0,5.5,0.364,0.0,1.5,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.5,2.5,0.0,2.5,19.7,0,0,-9.0
188,Marcus Banks,2008,November,3,13.5,6.0,2.3,4.3,0.538,0.3,1.3,0.25,1.0,1.0,1.0,0.0,2.3,2.3,0.3,1.3,0.3,0.0,2.3,9.0,0,0,-10.0
188,Marcus Banks,2008,December,9,6.6,1.1,0.4,1.4,0.308,0.1,0.7,0.167,0.1,0.4,0.25,0.0,0.6,0.6,1.4,0.4,0.3,0.2,0.7,5.2,0,0,-1.9
188,Marcus Banks,2008,January,2,8.7,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.5,2.6,0,0,-1.0
188,Marcus Banks,2008,February,3,8.3,3.3,1.3,4.0,0.333,0.3,1.0,0.333,0.3,1.0,0.333,0.3,0.3,0.7,1.3,0.3,0.3,0.0,1.3,6.8,0,0,-4.7
188,Marcus Banks,2008,March,3,5.1,1.3,0.7,2.0,0.333,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.7,0.0,0.0,0.3,2.1,0,0,-2.0
192,Leandro Barbosa,2008,October,2,24.0,10.0,3.5,10.0,0.35,1.0,4.0,0.25,2.0,2.5,0.8,0.0,2.5,2.5,0.5,1.5,0.5,0.0,1.5,13.8,0,0,-1.5
192,Leandro Barbosa,2008,November,11,20.3,10.8,3.9,9.3,0.422,1.1,3.8,0.286,1.9,2.5,0.75,0.3,2.1,2.4,1.6,1.4,1.0,0.0,1.6,17.7,0,0,-1.1
192,Leandro Barbosa,2008,December,12,25.0,13.3,4.9,10.6,0.465,1.2,3.5,0.333,2.3,2.6,0.871,0.3,2.2,2.4,2.1,1.3,1.3,0.1,2.1,22.3,0,0,-2.3
192,Leandro Barbosa,2008,January,15,22.8,14.5,5.1,9.7,0.524,1.4,2.9,0.488,3.0,3.1,0.978,0.4,1.8,2.2,1.7,1.0,0.7,0.1,1.9,20.9,0,0,-2.6
192,Leandro Barbosa,2008,February,13,28.1,16.6,6.6,12.8,0.518,1.5,3.7,0.396,1.9,2.2,0.893,0.8,2.9,3.8,3.9,1.6,2.2,0.2,1.7,32.6,0,0,5.2
192,Leandro Barbosa,2008,March,10,27.7,16.6,5.9,12.9,0.457,1.6,4.2,0.381,3.2,3.8,0.842,0.8,1.8,2.6,2.9,1.3,1.0,0.2,1.1,26.4,0,0,2.1
192,Leandro Barbosa,2008,April,7,21.3,13.6,5.1,10.0,0.514,0.9,2.1,0.4,2.4,2.6,0.944,0.4,1.4,1.9,1.9,1.6,0.9,0.0,1.0,19.6,0,0,1.4
194,J.J. Barea,2008,November,13,12.5,3.8,1.5,3.4,0.432,0.4,1.0,0.385,0.5,0.8,0.636,0.3,0.8,1.2,2.1,1.0,0.2,0.0,1.0,8.0,0,0,1.2
194,J.J. Barea,2008,December,15,25.4,10.5,4.1,9.6,0.431,0.7,2.3,0.324,1.5,1.8,0.815,0.7,2.4,3.1,4.3,1.3,0.3,0.1,1.2,20.6,0,0,3.3
194,J.J. Barea,2008,January,15,17.0,5.2,2.1,5.5,0.386,0.5,1.7,0.269,0.5,0.5,0.875,0.3,1.7,2.1,2.8,1.7,0.4,0.1,1.6,11.6,0,0,-4.6
194,J.J. Barea,2008,February,12,22.4,11.2,4.6,9.4,0.487,0.9,2.3,0.407,1.1,2.1,0.52,0.8,2.0,2.8,3.9,1.8,0.8,0.1,1.8,21.3,0,0,-0.8
194,J.J. Barea,2008,March,16,22.6,7.6,3.0,7.2,0.417,0.8,2.3,0.333,0.9,0.9,0.933,0.3,2.1,2.3,3.5,1.3,0.6,0.1,1.5,16.7,0,0,-0.2
194,J.J. Barea,2008,April,8,21.5,9.5,3.8,7.3,0.517,1.1,2.3,0.5,0.9,0.9,1.0,0.4,1.4,1.8,4.1,0.9,0.4,0.0,2.5,18.0,0,0,3.6
195,Andrea Bargnani,2008,October,2,25.0,9.5,4.0,7.0,0.571,0.5,1.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,0.5,2.5,1.5,25.0,0,0,10.5
195,Andrea Bargnani,2008,November,14,28.7,12.4,4.4,9.9,0.449,1.6,3.6,0.431,1.9,2.1,0.9,0.9,4.4,5.3,1.1,1.4,0.3,1.6,3.1,24.5,2,0,-2.8
195,Andrea Bargnani,2008,December,16,24.5,8.6,2.9,8.5,0.346,0.8,2.8,0.273,2.0,2.4,0.842,0.8,2.6,3.4,0.7,1.2,0.6,1.1,3.1,17.4,0,0,-8.4
195,Andrea Bargnani,2008,January,16,35.6,19.8,6.9,14.3,0.487,2.3,4.7,0.48,3.6,4.6,0.795,1.1,5.1,6.2,1.3,2.2,0.4,0.6,3.2,29.8,2,0,2.5
195,Andrea Bargnani,2008,February,12,36.8,17.9,6.3,15.2,0.412,1.2,3.8,0.311,4.3,5.3,0.81,1.0,6.1,7.1,1.5,1.9,0.3,1.1,2.8,31.0,2,0,-7.2
195,Andrea Bargnani,2008,March,12,33.3,20.3,7.3,14.2,0.518,2.3,4.3,0.519,3.3,3.8,0.87,0.8,5.1,5.9,1.5,2.3,0.5,1.3,3.4,32.8,0,0,-3.2
195,Andrea Bargnani,2008,April,6,33.5,16.3,6.7,15.0,0.444,1.2,3.7,0.318,1.8,2.3,0.786,0.7,3.2,3.8,1.5,1.5,0.7,2.5,3.3,31.2,0,0,-1.8
205,Matt Barnes,2008,October,2,22.6,7.5,3.0,8.0,0.375,1.5,4.0,0.375,0.0,0.5,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,11.8,0,0,-3.0
205,Matt Barnes,2008,November,11,30.8,13.1,4.6,9.5,0.49,2.4,5.6,0.419,1.5,1.9,0.762,1.0,5.0,6.0,2.6,1.9,0.7,0.5,2.5,26.2,0,0,0.2
205,Matt Barnes,2008,December,12,28.8,11.7,4.4,9.8,0.453,2.2,5.3,0.406,0.7,1.3,0.533,1.7,4.0,5.7,2.6,1.9,0.5,0.3,3.1,22.9,1,0,1.3
205,Matt Barnes,2008,January,15,20.4,6.5,2.4,7.0,0.343,0.9,3.5,0.264,0.7,1.1,0.647,0.9,3.8,4.7,1.5,1.6,0.4,0.1,2.4,14.1,0,0,-3.4
205,Matt Barnes,2008,February,13,24.8,8.3,3.0,8.2,0.364,0.8,3.8,0.22,1.5,1.5,1.0,0.8,4.0,4.8,3.2,1.1,0.8,0.3,2.8,21.4,0,0,2.8
205,Matt Barnes,2008,March,16,32.3,13.0,4.6,10.8,0.428,1.6,4.8,0.325,2.2,2.8,0.778,1.1,5.0,6.1,4.1,2.1,0.9,0.6,3.2,28.7,3,0,2.2
205,Matt Barnes,2008,April,8,26.0,9.5,3.3,6.5,0.5,1.5,3.4,0.444,1.5,2.3,0.667,0.4,5.5,5.9,2.6,1.4,0.9,0.3,1.9,22.5,1,0,2.6
218,Brent Barry,2008,October,2,24.2,3.0,1.0,3.5,0.286,0.5,2.0,0.25,0.5,0.5,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,0.5,8.4,0,0,7.0
218,Brent Barry,2008,November,12,19.6,2.9,0.9,3.0,0.306,0.6,2.2,0.269,0.5,0.6,0.857,0.3,1.6,1.8,1.3,1.0,0.4,0.0,1.4,7.4,0,0,-1.9
218,Brent Barry,2008,December,6,12.7,4.2,1.3,2.0,0.667,1.2,1.8,0.636,0.3,0.3,1.0,0.2,1.2,1.3,1.2,0.7,0.7,0.0,0.3,8.9,0,0,1.7
218,Brent Barry,2008,January,12,19.3,5.8,1.9,3.9,0.489,1.5,3.3,0.45,0.4,0.4,1.0,0.6,2.0,2.6,2.0,0.8,0.4,0.2,1.1,12.8,0,0,1.3
218,Brent Barry,2008,February,9,12.6,3.8,1.3,3.4,0.387,0.9,2.3,0.381,0.2,0.2,1.0,0.2,1.3,1.6,1.1,0.9,0.4,0.0,0.6,7.8,0,0,1.4
218,Brent Barry,2008,March,11,9.9,2.6,0.9,2.5,0.357,0.5,1.9,0.286,0.3,0.3,1.0,0.2,0.7,0.9,1.0,0.9,0.4,0.0,0.4,5.4,0,0,-1.7
218,Brent Barry,2008,April,4,10.8,2.5,1.0,2.8,0.364,0.5,2.0,0.25,0.0,0.0,0.0,0.5,0.8,1.3,2.0,1.0,0.3,0.3,0.8,7.5,0,0,1.5
227,Brandon Bass,2008,October,1,24.2,9.0,4.0,11.0,0.364,0.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,1.0,2.0,0.0,3.0,21.2,0,0,-14.0
227,Brandon Bass,2008,November,15,17.6,6.9,2.7,6.1,0.451,0.0,0.1,0.0,1.4,1.7,0.84,0.9,2.5,3.5,0.3,1.5,0.3,0.5,1.7,12.1,1,0,0.0
227,Brandon Bass,2008,December,14,18.5,8.1,3.1,6.5,0.484,0.0,0.1,0.0,1.9,2.1,0.897,1.8,2.9,4.6,0.5,0.8,0.0,0.4,1.4,15.0,0,0,1.0
227,Brandon Bass,2008,January,15,21.8,10.0,3.4,6.8,0.5,0.0,0.2,0.0,3.2,3.7,0.873,1.9,3.3,5.2,0.7,0.9,0.3,1.1,1.8,20.5,2,0,0.2
227,Brandon Bass,2008,February,12,20.9,9.7,3.3,6.3,0.526,0.0,0.1,0.0,3.0,3.4,0.878,1.5,3.3,4.8,0.9,1.3,0.6,1.1,1.5,20.5,1,0,-1.1
227,Brandon Bass,2008,March,16,17.2,7.8,2.7,5.5,0.489,0.0,0.0,0.0,2.4,2.9,0.848,1.4,2.6,4.0,0.6,1.1,0.5,0.6,1.6,15.5,0,0,2.1
227,Brandon Bass,2008,April,8,21.9,8.6,3.6,6.1,0.592,0.0,0.0,0.0,1.4,1.5,0.917,2.3,3.4,5.6,0.3,0.5,0.1,0.5,2.5,17.1,0,0,6.5
