Date,Team,Acquired,Relinquised,Injury part,Descriptive Verb,##,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS,&&,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
2010/12/2,Hawks,,Joe Johnson,elbow/,surgery/,##,November,15,35.5,15.9,6.1,15.3,0.4,1.1,4.6,0.246,2.5,3.0,0.822,0.7,3.3,4.1,5.5,1.3,0.7,0.3,1.7,30.4,0,0,0.2,&&,December,8,37.9,17.5,6.4,16.5,0.386,1.5,5.3,0.286,3.3,4.1,0.788,0.6,3.8,4.4,7.0,1.8,0.6,0.0,1.6,33.4,1,0,4.9
2010/12/13,Nets,,Damion James,foot/,surgery/broken/,##,November,9,11.2,2.9,1.1,2.8,0.4,0.0,0.0,0.0,0.7,1.1,0.6,0.3,2.6,2.9,0.1,0.2,0.0,0.6,0.2,8.0,0,0,-0.7,&&,December,5,17.5,4.8,2.0,5.4,0.37,0.0,0.4,0.0,0.8,1.0,0.8,0.8,3.0,3.8,1.4,2.0,1.0,0.4,2.2,13.7,0,0,-3.0
2010/12/15,Bulls,,Joakim Noah,thumb/ligament/,torn/,##,November,13,39.0,15.5,5.5,10.5,0.529,0.0,0.0,0.0,4.4,5.9,0.74,3.9,8.5,12.5,2.9,2.0,1.5,1.3,3.1,41.1,9,0,2.1,&&,December,9,33.1,11.4,4.4,9.1,0.488,0.0,0.0,0.0,2.6,3.7,0.697,3.3,5.9,9.2,2.6,2.2,0.7,1.9,3.7,31.8,4,0,4.4
2010/12/15,Wizards,,Yi Jianlian,knee/,sprained/,##,November,6,20.3,7.5,2.8,6.7,0.425,0.2,0.7,0.25,1.7,2.0,0.833,0.8,2.3,3.2,1.0,1.5,0.5,1.8,1.5,18.3,0,0,1.0,&&,December,7,14.5,4.7,1.7,5.0,0.343,0.1,0.4,0.333,1.1,1.6,0.727,1.0,3.0,4.0,0.4,1.1,0.4,0.3,1.6,11.2,0,0,-4.7
2010/12/16,Bulls,,Joakim Noah,thumb/ligament/,surgery/torn/,##,November,13,39.0,15.5,5.5,10.5,0.529,0.0,0.0,0.0,4.4,5.9,0.74,3.9,8.5,12.5,2.9,2.0,1.5,1.3,3.1,41.1,9,0,2.1,&&,December,9,33.1,11.4,4.4,9.1,0.488,0.0,0.0,0.0,2.6,3.7,0.697,3.3,5.9,9.2,2.6,2.2,0.7,1.9,3.7,31.8,4,0,4.4
2010/12/20,Clippers,,Craig Smith,back/,injury/,##,November,14,16.4,7.1,2.9,4.6,0.615,0.0,0.2,0.0,1.4,1.9,0.769,1.3,1.9,3.1,1.2,0.9,0.4,0.1,2.6,13.4,0,0,-1.1,&&,December,9,10.2,3.9,1.6,3.1,0.5,0.0,0.1,0.0,0.8,1.2,0.636,0.6,1.6,2.1,0.7,1.0,0.3,0.0,1.8,7.4,0,0,-3.1
2010/12/30,Rockets,,Chuck Hayes,ankle/,sprained/,##,November,14,19.2,5.4,1.9,4.1,0.474,0.0,0.0,0.0,1.5,1.9,0.808,2.3,3.9,6.1,1.6,0.9,0.3,0.4,1.9,16.2,0,0,-3.4,&&,December,14,23.5,6.7,2.6,4.4,0.59,0.0,0.0,0.0,1.6,1.9,0.815,2.1,3.9,6.1,1.5,0.9,1.1,0.7,2.7,20.7,1,0,5.1
2010/12/31,Cavaliers,,Anderson Varejao,cheekbone/,fracture/,##,November,13,31.1,8.8,3.8,7.3,0.516,0.0,0.0,0.0,1.3,2.2,0.607,3.0,6.1,9.1,1.8,1.3,0.7,1.1,2.6,26.4,3,0,-2.4,&&,December,15,32.5,9.8,3.9,7.1,0.542,0.0,0.0,0.0,2.1,2.9,0.721,3.5,6.9,10.4,1.1,1.3,1.1,1.5,3.0,30.3,4,0,-8.4
2010/12/31,Warriors,,Brandan Wright,back/,strained/,##,November,5,11.7,4.6,1.8,3.8,0.474,0.0,0.0,0.0,1.0,1.4,0.714,1.0,1.2,2.2,0.0,0.8,0.0,0.8,1.4,8.8,0,0,-2.0,&&,December,1,3.6,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,-3.0
2011/1/3,Knicks,,Danilo Gallinari,knee/,sprained/,##,December,13,37.2,14.7,4.6,10.5,0.438,1.8,4.8,0.381,3.6,4.4,0.825,0.5,3.5,3.9,2.4,1.2,0.7,0.5,2.5,25.3,0,0,1.5,&&,January,9,33.3,18.2,5.1,11.0,0.465,1.7,4.3,0.385,6.3,7.3,0.864,1.6,2.4,4.0,1.2,0.9,0.7,0.4,2.6,27.3,0,0,-4.0
2011/1/4,Mavericks,,Caron Butler,knee/tendon/,surgery/torn/,##,December,14,30.8,16.9,6.6,13.8,0.482,1.3,2.9,0.439,2.4,2.9,0.805,0.6,3.5,4.1,1.8,1.8,0.8,0.3,1.8,25.9,0,0,5.6,&&,January,1,9.2,5.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.2,0,0,-3.0
2011/1/5,Bucks,,Brandon Jennings,foot/,surgery/,##,December,8,36.1,17.0,6.1,15.6,0.392,1.6,4.1,0.394,3.1,4.6,0.676,0.6,3.3,3.9,5.1,2.3,0.9,0.4,1.9,30.8,1,0,-2.0,&&,January,2,14.3,7.0,2.5,8.0,0.313,1.0,2.5,0.4,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,1.0,9.5,0,0,-2.0
