2011/6/27,Mavericks,,Rodrigue Beaubois,foot/,surgery/
2011/9/28,Timberwolves,,Martell Webster,back/,surgery/
2011/10/7,Clippers,,Eric Bledsoe,knee/,surgery/torn/
2011/12/1,Heat,,Mike Miller,hernia/,surgery/
2011/12/12,Spurs,,Gary Neal,appendectomy/,
2011/12/14,Lakers,,Derrick Caracter,knee/,surgery/torn/
2011/12/16,Bobcats,,Eduardo Najera,knee/,surgery/torn/
2011/12/16,Bobcats,,Reggie Williams,knee/,torn/
2011/12/17,Celtics,,Jeff Green,heart/,surgery/
2011/12/20,Grizzlies,,Darrell Arthur,Achilles/tendon/,rupture/
2011/12/22,Nets,,Brook Lopez,foot/,surgery/fracture/
2011/12/25,Blazers,,Greg Oden,knee/,surgery/
2011/12/25,Bobcats,,Reggie Williams,knee/,torn/
2011/12/25,Cavaliers,,Semih Erden,thumb/,injury/
2011/12/25,Grizzlies,,Xavier Henry,ankle/,injury/
2011/12/25,Hawks,,Kirk Hinrich,shoulder/,surgery/
2011/12/25,Hornets,,DaJuan Summers,knee/,hyperextended/
2011/12/25,Knicks,,Iman Shumpert,knee/,sprained/
2011/12/25,Raptors,,Linas Kleiza,knee/,surgery/fracture/damage/
2011/12/25,Timberwolves,,Brad Miller,knee/,surgery/
2011/12/25,Clippers,,Eric Bledsoe,knee/,surgery/torn/
2012/1/2,Spurs,,Manu Ginobili,hand/,broken/
2012/1/4,Thunder,,Ryan Reid,nose/,surgery/broken/
2012/1/6,Kings,,Chuck Hayes,shoulder/,dislocate/
2012/1/7,Timberwolves,,Michael Beasley,foot/,sprained/
2012/1/17,Hawks,,Al Horford,muscle/,surgery/torn/
2012/1/18,Thunder,,Eric Maynor,knee/,surgery/torn/
2012/1/19,Warriors,,Kwame Brown,muscle/chest/,surgery/torn/
2012/1/24,Nets,,Damion James,foot/,surgery/
2012/1/26,Bucks,,Andrew Bogut,ankle/,fracture/
2012/1/30,Nets,,MarShon Brooks,toe/,fracture/
2012/2/2,Bobcats,,Gerald Henderson,hamstring/,strained/
2012/2/3,Blazers,,Greg Oden,knee/,surgery/
